20240126	22:30:19	89252a89-a37e-45eb-934f-f6dc8da20fad	PUT	undefined	/employees
20240126	22:30:34	1b0b834d-57a5-476b-a9b7-02015a65621f	PATCH	undefined	/employees
20240126	22:31:16	0c3b443e-0000-4771-a4eb-b8815642c0e5	DELETE	undefined	/employees
20240127	12:17:09	a582626c-ba04-46d6-b523-fe2b0cb73e66	GET	undefined	/employees
20240127	12:17:47	81a9be61-2e56-4ddd-9275-63f5f295646e	PUT	undefined	/employees
20240127	12:18:17	7939069a-a164-455a-9e21-bbea24bce619	PATCH	undefined	/employees
20240127	12:20:02	d840d82f-d907-44f4-adf6-074e5d5e6b60	GET	undefined	/employees
20240127	12:44:50	f26e8fb0-9963-4c68-8c1d-3d3bc29fabd5	GET	undefined	/register
20240127	12:46:05	5cc1e43c-5d70-4579-b1a9-2ccaad3a1569	POST	undefined	/register
20240127	12:47:35	31207ea6-1a91-4067-bbec-5a2bf8f0539c	POST	undefined	/register
20240127	12:48:15	a59b2a0f-46a6-45e2-b4a0-88853f5824c0	POST	undefined	/register
20240127	12:49:19	35e94dd6-650a-400e-a957-a1c24ae5f301	POST	undefined	/register
20240127	13:42:27	ce54f4d6-948c-418a-b454-fa5bd8507922	POST	undefined	/register
20240127	13:42:33	e8c86638-87cd-4b74-96d7-6d90e53a2a98	POST	undefined	/register
20240127	13:43:08	61d4f0ec-5f79-4a5c-a6f2-ce52089097ad	POST	undefined	/auth
20240127	13:44:09	582829db-3901-41f7-bb96-329ba797e91f	POST	undefined	/register
20240127	13:44:51	5ff52253-7500-4326-920d-c1fe5811300d	POST	undefined	/auth
20240127	13:45:21	d443b888-fc34-486b-9fab-fece5d1c00a4	POST	undefined	/auth
20240127	13:45:33	6ba95634-93f5-426a-81bf-4417d79ee960	POST	undefined	/auth
20240127	13:45:37	4e014582-7015-4f1e-8fb1-3e248ca88d3f	POST	undefined	/auth
20240127	15:23:16	40363622-9744-4d40-981b-eafad3d6ee93	POST	undefined	/auth
20240127	15:23:47	e8551284-69d7-483d-8b82-a0453ded932c	POST	undefined	/employees
20240127	15:24:06	ec675389-2e3f-4117-a140-8d8d742d9f7c	GET	undefined	/employees
20240127	15:24:28	c2a89688-fd65-43e0-8fa5-9a2cb3bec09b	POST	undefined	/auth
20240127	15:24:42	8bbd248d-148d-4ab9-97cf-111544aaa21f	GET	undefined	/employees
20240127	15:24:49	6221240f-49e7-422e-99d7-3ddb162b2eac	GET	undefined	/employees
20240127	15:26:31	9120d0fd-39e7-4dd5-81df-2bff5c38af7a	POST	undefined	/auth
20240127	15:26:40	20cfb737-a7db-4a20-9adb-73e5338b8d08	GET	undefined	/employees
20240127	21:02:08	dd84a402-c1ba-4964-816b-0b8326e5a681	GET	undefined	/employees
20240127	21:02:26	e0bc35e3-4332-4ffc-befb-778ebe4ed171	POST	undefined	/auth
20240127	21:02:43	28c6bf05-623f-4c95-8610-30181c586620	GET	undefined	/employees
20240127	21:03:28	c6efa27b-67ff-4a38-8133-6dd995cf1400	GET	undefined	/employees
20240127	21:10:42	0921a70d-1f66-4e18-8b92-c1ec41a5df87	PUT	undefined	/employees
20240127	21:14:37	d2ed4ab3-8811-49b1-b59e-3fa4789a211b	PUT	undefined	/employees
20240127	21:14:44	e2b6014c-fafa-4063-b736-4c832ae27cf1	PATCH	undefined	/employees
20240127	21:14:49	cc771dd1-3cab-4cd2-ac3a-10bbfd721d73	GET	undefined	/employees
20240127	21:14:50	cd64e30e-4e97-4d9b-8a8b-1b19eabb60e6	GET	undefined	/employees
20240127	21:15:09	12729c42-e3fb-48d2-8c5f-d47a6d7b65be	PUT	undefined	/employees
20240127	21:15:13	8680bb8b-ba87-4d11-9304-e4821d7bf927	POST	undefined	/auth
20240127	21:15:26	8802e59b-e7b0-4feb-b65b-f4e5d4fea70d	GET	undefined	/employees
20240127	21:15:29	1ea26b36-4fcf-44dc-8f1a-b4071b640bd2	PUT	undefined	/employees
